Name,Ticker,Date,Actual,Estimate
Corteva Inc,CTVA US,2019/5/31,0.31,0.44
Advance Auto Parts Inc,AAP US,2019/5/22,2.46,2.371
Equifax Inc,EFX US,2019/5/10,1.2,1.201
Marriott International Inc/MD,MAR US,2019/5/10,1.41,1.337
Linde PLC,LIN US,2019/5/10,1.69,1.57
Mettler-Toledo International I,MTD US,2019/5/9,4.1,4.051
Booking Holdings Inc,BKNG US,2019/5/9,11.17,11.324
Wynn Resorts Ltd,WYNN US,2019/5/9,1.61,1.583
Ameren Corp,AEE US,2019/5/9,0.78,0.681
Norwegian Cruise Line Holdings,NCLH US,2019/5/9,0.83,0.705
Duke Energy Corp,DUK US,2019/5/9,1.28,1.239
CenterPoint Energy Inc,CNP US,2019/5/9,0.46,0.516
Perrigo Co PLC,PRGO US,2019/5/8,1.07,0.945
Evergy Inc,EVRG US,2019/5/8,0.44,0.406
Cimarex Energy Co,XEC US,2019/5/8,1.2,1.352
CenturyLink Inc,CTL US,2019/5/8,0.34,0.267
Albemarle Corp,ALB US,2019/5/8,1.23,1.273
CBRE Group Inc,CBRE US,2019/5/8,0.79,0.613
Marathon Petroleum Corp,MPC US,2019/5/8,-0.09,0.05
Western Union Co/The,WU US,2019/5/7,0.39,0.428
FleetCor Technologies Inc,FLT US,2019/5/7,2.67,2.641
TripAdvisor Inc,TRIP US,2019/5/7,0.36,0.315
DaVita Inc,DVA US,2019/5/7,0.91,0.931
Diamondback Energy Inc,FANG US,2019/5/7,1.39,1.362
Expeditors International of Wa,EXPD US,2019/5/7,0.8,0.832
Mylan NV,MYL US,2019/5/7,0.82,0.791
Allergan PLC,AGN US,2019/5/7,3.79,3.553
Sempra Energy,SRE US,2019/5/7,1.92,1.68
Henry Schein Inc,HSIC US,2019/5/7,0.8,0.759
Regeneron Pharmaceuticals Inc,REGN US,2019/5/7,4.45,5.706
AES Corp/VA,AES US,2019/5/7,0.28,0.299
Gartner Inc,IT US,2019/5/7,0.58,0.527
Mosaic Co/The,MOS US,2019/5/6,0.25,0.241
Pioneer Natural Resources Co,PXD US,2019/5/6,1.83,1.599
FMC Corp,FMC US,2019/5/6,1.72,1.623
International Flavors & Fragra,IFF US,2019/5/6,1.57,1.502
American International Group I,AIG US,2019/5/6,1.58,1.052
Assurant Inc,AIZ US,2019/5/6,2.33,2.153
Everest Re Group Ltd,RE US,2019/5/6,6.91,5.901
Affiliated Managers Group Inc,AMG US,2019/5/6,3.26,3.261
Occidental Petroleum Corp,OXY US,2019/5/5,0.84,0.733
Berkshire Hathaway Inc,BRK/A US,2019/5/4,3387.56,3399.097
Dominion Energy Inc,D US,2019/5/3,1.1,1.117
Cboe Global Markets Inc,CBOE US,2019/5/3,1.11,0.991
American Tower Corp,AMT US,2019/5/3,1.73,1.55
Noble Energy Inc,NBL US,2019/5/3,-0.09,-0.064
Newell Brands Inc,NWL US,2019/5/3,0.14,0.03
DISH Network Corp,DISH US,2019/5/3,0.65,0.652
DENTSPLY SIRONA Inc,XRAY US,2019/5/3,0.49,0.386
Alliant Energy Corp,LNT US,2019/5/2,0.53,0.514
EOG Resources Inc,EOG US,2019/5/2,1.19,1.024
Consolidated Edison Inc,ED US,2019/5/2,1.39,1.364
Fortinet Inc,FTNT US,2019/5/2,0.46,0.387
Regency Centers Corp,REG US,2019/5/2,0.95,0.956
Apartment Investment & Managem,AIV US,2019/5/2,0.61,0.601
Expedia Group Inc,EXPE US,2019/5/2,-0.27,-0.369
Motorola Solutions Inc,MSI US,2019/5/2,1.28,1.145
Activision Blizzard Inc,ATVI US,2019/5/2,0.31,0.257
Flowserve Corp,FLS US,2019/5/2,0.41,0.341
Federal Realty Investment Trus,FRT US,2019/5/2,1.56,1.558
Arista Networks Inc,ANET US,2019/5/2,2.31,2.07
CBS Corp,CBS US,2019/5/2,1.37,1.367
Monster Beverage Corp,MNST US,2019/5/2,0.49,0.424
Cognizant Technology Solutions,CTSH US,2019/5/2,0.91,1.034
Gilead Sciences Inc,GILD US,2019/5/2,1.76,1.607
